"meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
0.162285422889112,0.0736112828933626,0.186366559485531,0.0768274383708467,0.222979635584137,0.14615219721329,7.58708073942671,82.3274256779702,0.923830673061181,0.577102758618986,0.0731261164701679,0.162285422889112,0.10247069899556,0.043108504398827,0.279113924050633,0.36117527173913,0,6.9767578125,6.9767578125,0.0346993032636597,"pending"
0.141748347448631,0.0763371886738354,0.127445516255806,0.0682243658449446,0.218978206502322,0.150753840657378,2.13124270264275,9.73730948829136,0.955811404744823,0.627279712168819,0.0386137906395141,0.141748347448631,0.096929981133449,0.0432777232580962,0.26890243902439,0.175670875726744,0,2.734716796875,2.734716796875,0.0424240194274781,"pending"
0.200713530915173,0.056429131985741,0.201781376518219,0.167906644439152,0.248259109311741,0.0803524648725887,2.34198982808564,10.6926478864879,0.928714221814319,0.436730973697595,0.199047392236247,0.200713530915173,0.117140388297589,0.0431506849315069,0.279113924050633,1.06643188476562,0,6.41689453125,6.41689453125,0.125475679789663,"pending"
0.167760677070193,0.0638071786824943,0.16735977134691,0.125944980350125,0.217777777777778,0.0918327974276527,0.987163991415897,3.93063231877089,0.96084497924106,0.629471153842253,0.147052518756699,0.167760677070193,0.114468775042246,0.0435770750988142,0.279113924050633,0.736704711914063,0,3.983642578125,3.983642578125,0.129583637691746,"pending"
0.155430685343305,0.0749553200163271,0.156727987140561,0.100017860332202,0.226990534023933,0.126972673691731,3.6859318061553,27.5218135755347,0.954580347926467,0.65472242906567,0.0414073941775317,0.155430685343305,0.0971462178783179,0.043108504398827,0.277358490566038,0.378834143350291,0,5.81396484375,5.81396484375,0.0398687732021065,"pending"
0.190370988954574,0.0625699167334558,0.21231721838533,0.130631102643487,0.243324601095499,0.112693498452012,2.0842557679221,9.44073423524939,0.934182440575343,0.424348464305606,0.242257680400095,0.190370988954574,0.113709636310911,0.0433202357563851,0.279113924050633,0.649816500756048,0,7.472021484375,7.472021484375,0.0663169338556317,"pending"
0.201445625130318,0.0710716877001502,0.236978050025523,0.165227156712608,0.247697805002552,0.0824706482899439,3.09083062748088,13.0864085661198,0.917729093524398,0.534663480840234,0.24698315467075,0.201445625130318,0.151308883752001,0.043108504398827,0.279113924050633,1.07935180664062,0.150732421875,8.9578125,8.807080078125,0.06466296936808,"pending"
0.2053437886366,0.0407217588932263,0.214935251798561,0.197812949640288,0.224805755395683,0.0269928057553957,3.27948143876409,15.5919940707723,0.854915630676484,0.255626004351858,0.215942446043165,0.2053437886366,0.12811749355993,0.0471512770137525,0.263736263736264,0.7547607421875,0.1875,5.1796875,4.9921875,0.0697298545370584,"pending"
0.216326157909803,0.0462482880345557,0.224890158956957,0.210337560278621,0.244893731023397,0.0345561707447758,2.74866609857508,12.1697175453477,0.894730787500643,0.285320853311893,0.221189498124665,0.216326157909803,0.131858380199806,0.0469208211143695,0.27906976744186,0.65015625,0,14.484375,14.484375,0.0414622721853177,"pending"
0.22437317065474,0.0427851373974381,0.233291659224862,0.216938739060547,0.248644400785855,0.0317056617253081,2.53268010957957,9.93560556249443,0.879840287189351,0.238139027900418,0.246744061439543,0.22437317065474,0.157639542370607,0.0469208211143695,0.27906976744186,0.575323134816754,0,13.8984375,13.8984375,0.0321461687397606,"pending"
